Output[276]: {0.261576,0.031709}	FIRST SYMBOL	Pass
Output[277]: {-0.126963,-0.221965}	FIRST SYMBOL	Pass
Output[278]: {0.012719,0.2553}	FIRST SYMBOL	Pass
Output[279]: {0.25524,-0.105745}	FIRST SYMBOL	Pass
Output[280]: {-0.19845,-0.030437}	FIRST SYMBOL	Pass
Output[281]: {0.120646,0.105163}	FIRST SYMBOL	Pass
Output[282]: {-0.016317,-0.145123}	FIRST SYMBOL	Pass
Output[283]: {-0.067169,0.071481}	FIRST SYMBOL	Pass
Output[284]: {0.065002,0.038639}	FIRST SYMBOL	Pass
Output[285]: {-0.069608,-0.060227}	FIRST SYMBOL	Pass
Output[286]: {-0.010727,0.035743}	FIRST SYMBOL	Pass
Output[287]: {0.059833,0.015378}	FIRST SYMBOL	Pass
Output[288]: {0.046874,0.016181}	FIRST SYMBOL	Pass
Output[289]: {-0.111812,-0.062297}	FIRST SYMBOL	Pass
Output[290]: {0.051531,0.132153}	FIRST SYMBOL	Pass
Output[291]: {0.091634,-0.058247}	FIRST SYMBOL	Pass
Output[292]: {-0.150732,0.057774}	FIRST SYMBOL	Pass
Output[293]: {0.18226,0.041654}	FIRST SYMBOL	Pass
Output[294]: {-0.090002,-0.158149}	FIRST SYMBOL	Pass
Output[295]: {0.017973,0.200962}	FIRST SYMBOL	Pass
Output[296]: {0.111851,-0.105709}	FIRST SYMBOL	Pass
Output[297]: {-0.255491,-0.015096}	FIRST SYMBOL	Pass
Output[298]: {0.184248,0.14472}	FIRST SYMBOL	Pass
Output[299]: {0.048179,-0.29716}	FIRST SYMBOL	Pass
Output[300]: {-0.225369,0.142892}	FIRST SYMBOL	Pass
Output[301]: {0.255182,0.03619}	FIRST SYMBOL	Pass
Output[302]: {-0.179533,-0.218313}	FIRST SYMBOL	Pass
Output[303]: {0.073654,0.272918}	FIRST SYMBOL	Pass
Output[304]: {0.085544,-0.233059}	FIRST SYMBOL	Pass
Output[305]: {-0.230285,0.03621}	FIRST SYMBOL	Pass
Output[306]: {0.250594,0.188033}	FIRST SYMBOL	Pass
Output[307]: {-0.094726,-0.297478}	FIRST SYMBOL	Pass
Output[308]: {-0.128118,0.165524}	FIRST SYMBOL	Pass
Output[309]: {0.210939,-0.075347}	FIRST SYMBOL	Pass
Output[310]: {-0.212067,-0.201565}	FIRST SYMBOL	Pass
Output[311]: {0.062254,0.209257}	FIRST SYMBOL	Pass
Output[312]: {0.12879,-0.201508}	FIRST SYMBOL	Pass
Output[313]: {-0.210618,0.0755}	FIRST SYMBOL	Pass
Output[314]: {0.232552,0.026533}	FIRST SYMBOL	Pass
Output[315]: {-0.181323,-0.211396}	FIRST SYMBOL	Pass
Output[316]: {-0.058384,0.188415}	FIRST SYMBOL	Pass
Output[317]: {0.184351,-0.009107}	FIRST SYMBOL	Pass
Output[318]: {-0.104573,0.066547}	FIRST SYMBOL	Pass
Output[319]: {0.139896,0.078151}	FIRST SYMBOL	Pass
Output[320]: {-0.02425,-0.116148}	FIRST SYMBOL	Pass
Output[321]: {-0.010693,0.090659}	FIRST SYMBOL	Pass
Output[322]: {0.062566,-0.019333}	FIRST SYMBOL	Pass
Output[323]: {0.012517,0.003115}	FIRST SYMBOL	Pass
Output[324]: {0.079478,-0.013055}	FIRST SYMBOL	Pass
Output[325]: {-0.071861,-0.031768}	FIRST SYMBOL	Pass
Output[326]: {0.158799,0.113627}	FIRST SYMBOL	Pass
Output[327]: {0.043116,-0.173705}	FIRST SYMBOL	Pass
Output[328]: {-0.138578,0.127421}	FIRST SYMBOL	Pass
Output[329]: {0.188352,-0.027007}	FIRST SYMBOL	Pass
Output[330]: {-0.259342,-0.087085}	FIRST SYMBOL	Pass
Output[331]: {0.120865,0.329501}	FIRST SYMBOL	Pass
Output[332]: {0.21082,-0.266703}	FIRST SYMBOL	Pass
Output[333]: {-0.294008,0.259378}	FIRST SYMBOL	Pass
Output[334]: {0.437231,0.051881}	FIRST SYMBOL	Pass
Output[335]: {-0.176378,-0.328612}	FIRST SYMBOL	Pass
Output[336]: {-0.042795,0.331664}	FIRST SYMBOL	Pass
Output[337]: {0.368016,-0.239527}	FIRST SYMBOL	Pass
Output[338]: {-0.493671,-0.041828}	FIRST SYMBOL	Pass
Output[339]: {0.325898,0.349186}	FIRST SYMBOL	Pass
Output[340]: {0.115624,-0.488362}	FIRST SYMBOL	Pass
Output[341]: {-0.388563,0.39418}	FIRST SYMBOL	Pass
Output[342]: {0.522212,-0.057664}	FIRST SYMBOL	Pass
