(-0.144056,-0.784663)
(-0.414621,0.628919)
(0.771119,-0.0669146)
(-0.592526,-0.386061)
(0.163241,0.647631)
(0.279987,-0.637766)
(-0.670545,0.276423)
(0.541895,0.243642)
(-0.331702,-0.624504)
(-0.18373,0.612655)
(0.473099,-0.312585)
(-0.632337,-0.121797)
(0.282066,0.539721)
(0.158316,-0.574882)
(-0.451576,0.253986)
(0.501929,0.0623083)
(-0.221924,-0.521355)
(-0.0982714,0.487302)
(0.316568,-0.309556)
(-0.433402,-0.0993977)
(0.238275,0.248743)
(0.0526161,-0.426278)
(-0.243881,0.178365)
(0.377744,0.0895643)
(-0.211358,-0.256851)
(-0.0635815,0.32709)
(0.173841,-0.169333)
(-0.21825,-0.0796661)
(0.119472,0.244514)
(0.124039,-0.136573)
(-0.171147,0.100521)
(0.196368,0.107951)
(-0.0144558,-0.232463)
(-0.135889,0.110848)
(0.248715,0.0196638)
(-0.144075,-0.172929)
(-0.0261927,0.206039)
(0.160652,-0.14549)
(-0.265114,-0.0680828)
