Real	Imaginary
41182900	c0974330
3f081280	3baf4000
c0b65330	4082a670
bfebd440	3fc2c040
3fd938c0	40b3d7a0
401d23e0	40143740
4007e0c0	c0b3c810
3be3c000	c0625240
405cffe0	4088f720
c05be8e0	40521280
c0065600	3ef65600
beda2c00	405bede0
40349740	40942330
40bbead0	409e5310
40fd2560	c081af60
3f7cc300	40935be0
c0e50470	408d0d50
c0298000	c0da8ab0
bfed96c0	40f40b20
40cfcb30	c0862a60
3fd825c0	3ffa8dc0
c0190b80	409e81a0
c017d880	bf429d80
40b732c0	4101fd50
4044df20	be591e00
bf110800	40a7b820
4039ea60	40824b00
4028a600	be417000
bfa9ca40	402ebb00
408cac70	be936c00
3fb9b440	40ac82d0
3f707080	3f289e00
c01caa80	bfc57e00
bf895f40	407b7460
40140020	3df0e400
c08aaa70	c04d72a0
befc9b00	3f9a5f80
